,Year,Month,CA Rural,CA Urbano,CANA Rural,CANA Urbano
238,2011,11,736.7514687096108,1045.4441750106992,1420.8591951481594,2247.0535031848785
239,2011,12,755.7079556726594,1067.2231429881554,1443.4775452488493,2272.9215490721062
240,2012,1,768.4024976752019,1079.9676781404048,1459.1655905733655,2290.590149704288
241,2012,2,762.6559276876012,1077.3132811297266,1456.1704324382804,2292.3087236318197
242,2012,3,765.1112746303197,1081.161317793688,1459.486888943749,2296.450390880449
243,2012,4,763.6123765207716,1082.0364677417604,1453.4369516077304,2287.425098285474
244,2012,5,766.3773679264151,1083.6284721016075,1448.3066221648223,2274.531437047275
245,2012,6,782.7981921599048,1101.388936618069,1466.081954039156,2292.915660067574
246,2012,7,798.5045699650257,1120.0870828942548,1483.6360159480255,2313.982379400272
247,2012,8,800.2056318204757,1125.3878008222673,1488.5220030254268,2324.705202285453
248,2012,9,818.4438448409331,1144.7853160384839,1508.7341012864736,2346.2160538459802
249,2012,10,820.3257742789282,1147.9459718187795,1515.3137929755749,2357.165040643247
250,2012,11,816.8553338041645,1148.6796481874394,1521.385177240139,2371.137858521917
251,2012,12,823.9671665359198,1158.6226162083751,1529.2761405796027,2377.860330258739
252,2013,1,824.5820522219672,1161.3923819315635,1533.303870875292,2389.7975970475136
253,2013,2,823.0385062514498,1160.171125301781,1536.238219229329,2401.1786460118137
254,2013,3,838.2123852534824,1177.0840725312855,1553.2767549579194,2421.652614331272
255,2013,4,839.8834723288861,1179.9473904092927,1552.6960238872095,2419.5022341819886
256,2013,5,839.3828900533103,1179.3365451003044,1544.3749705845905,2404.4126263543517
257,2013,6,832.2821466607879,1172.9015520597686,1538.8595730820507,2400.282751767564
258,2013,7,825.4215924305878,1167.9906900071508,1532.709346263442,2395.396330862124
259,2013,8,834.5117466568539,1179.2177205165176,1544.1409307250678,2410.467953945311
260,2013,9,840.1660668734211,1186.754986644148,1553.575332369815,2425.3731736273903
261,2013,10,838.4854834008678,1186.511446434658,1559.721642792331,2439.884122520016
262,2013,11,854.7197402215021,1202.8178867686665,1586.7382639234283,2476.3570123199415
263,2013,12,867.9614764938858,1216.642579146655,1610.0959971527957,2508.4413774732075
264,2014,1,868.198649579897,1227.3597824242947,1621.232653902437,2539.765848492724
265,2014,2,869.4933491880694,1234.2934586796835,1624.448349638909,2550.6255316273355
266,2014,3,874.740455760456,1242.7492921276535,1631.4713594066045,2561.724768755532
267,2014,4,857.0292072279383,1224.9579651889649,1607.203337638586,2531.1888664953285
268,2014,5,851.724411566147,1220.207131586648,1591.6192970356633,2506.6054857040117
269,2014,6,853.471634913057,1225.086801409952,1594.7619798697924,2513.733306394499
270,2014,7,859.9658172940799,1231.8676855291649,1602.0917406336248,2521.5610043956162
271,2014,8,868.1691456555754,1242.5707761317058,1613.00194624534,2537.0549881944917
272,2014,9,881.3239321361277,1257.0396382136557,1629.5979901483902,2557.5714077915964
273,2014,10,887.1745578398588,1264.8719085398307,1643.689310576312,2579.5363124816968
274,2014,11,895.8107369227293,1272.9047090632073,1664.6203937987643,2609.8063865194467
275,2014,12,914.8131558658959,1291.890525049932,1684.5934201900877,2628.7074155001465
276,2015,1,897.2191054016411,1265.8043642437503,1667.4388554142056,2601.753951350711
277,2015,2,887.5385819074761,1256.6493826238827,1661.3053873531348,2599.145778887605
278,2015,3,903.7482257868379,1271.1468094588217,1679.1499584221085,2615.933909194147
279,2015,4,907.2486954873177,1273.129723715452,1676.7223706214847,2606.0910267675135
280,2015,5,897.9845169065563,1264.4942785714368,1656.974727092438,2577.89677104025
281,2015,6,898.778907092877,1267.6962159720044,1658.2870656686991,2582.079991369685
282,2015,7,906.170642798419,1275.8858980392265,1665.914610409679,2590.056849939426
283,2015,8,910.4076202394946,1281.3440615779123,1673.2667144395336,2601.23696100263
284,2015,9,917.5500769808433,1290.3038369619999,1685.1342365657244,2618.628807672515
285,2015,10,920.2770888812672,1295.0489280450636,1696.8550532533964,2639.2528138227485
286,2015,11,920.6554705138004,1297.638295912153,1707.722376567879,2658.656796216749
287,2015,12,938.0164009056012,1315.0817297219185,1725.7331564112958,2675.6914045576214
288,2016,1,956.1475684935338,1333.69742298644,1745.7951982551376,2698.017730745265
289,2016,2,963.1692247328814,1343.2827727033734,1756.4790919646603,2713.2077339370976
290,2016,3,959.7867954770013,1338.9305382126727,1754.1251231482916,2710.514036650535
291,2016,4,955.4398591544433,1335.1763321153617,1739.6643622761876,2686.25438264762
292,2016,5,947.9998072632517,1330.2841166407502,1718.9986756168776,2655.5731506734073
293,2016,6,937.9394707384237,1322.6156907792445,1709.553948593004,2648.464051506705
294,2016,7,935.6281088998979,1321.2376734163095,1714.3554922070562,2661.978221886129
295,2016,8,933.2307040226978,1310.9860591306388,1713.5858606417855,2654.4310078681
296,2016,9,959.5844599881513,1339.4081108680095,1742.9886066817212,2688.907804010577
297,2016,10,963.0955945960945,1346.4352254469532,1755.3361307641649,2711.6542152824886
298,2016,11,969.4292937097412,1355.672651097332,1773.439641897352,2742.497234590939
299,2016,12,979.3135203729543,1369.6135717927234,1784.9319760425255,2758.647048883943
300,2017,1,975.5265965618851,1371.5908819951374,1793.4855242621038,2780.7405204446472
301,2017,2,970.3843741250286,1373.0224641397763,1795.5466043099834,2794.068836381271
302,2017,3,981.5430873991661,1386.0413494561249,1811.207292404487,2814.0285067209293
303,2017,4,994.7583154853096,1400.2244286384923,1818.884674592818,2816.811692435629
304,2017,5,1002.8602365157976,1408.2156047252106,1820.9820282651342,2811.5743516249886
305,2017,6,1014.0228994919116,1422.1864291005518,1833.6833151319652,2828.4332864363155
306,2017,7,1035.4904371126333,1446.4697416743172,1854.3882249946137,2851.8517625162335
307,2017,8,1060.179155291907,1477.2908242239964,1883.9439263123636,2891.1985575137105
308,2017,9,1064.121165345344,1485.1851798432035,1886.5332074791413,2893.347360625942
309,2017,10,1045.6344257506357,1469.7111288865551,1889.190662321889,2918.982749960959
310,2017,11,1052.2962412618122,1475.8505781081315,1912.4314786624416,2953.8498735337253
311,2017,12,1066.575642957384,1491.5898284661787,1930.802608910998,2974.7976618796683
312,2018,1,1061.3097406129605,1490.775439582362,1930.7805428172533,2983.180801038883
313,2018,2,1041.8389458455388,1472.8609025750588,1912.7642368175682,2968.666941301127
314,2018,3,1054.5397793008449,1482.7503745998283,1926.4217644755054,2979.640261454963
315,2018,4,1052.932178444069,1482.4567239092046,1916.6107368020184,2963.538565014387
316,2018,5,1042.3887466133435,1472.6163160520296,1899.9041740461807,2940.6841035787165
317,2018,6,1043.41483631729,1476.8620801154664,1905.820446225503,2952.5163405014164
318,2018,7,1053.2815404479536,1492.2560209621336,1916.693895270991,2969.470637336094
319,2018,8,1073.6903796786671,1516.6209850942696,1941.0106344570504,3001.1652325320856
320,2018,9,1077.6489252344297,1522.459327584649,1952.1242228647325,3019.6747620604347
321,2018,10,1072.3599960618012,1513.592689174889,1956.3417023282493,3027.297751625002
322,2018,11,1090.1708344903996,1530.5587484096493,1983.7537153419805,3061.765605795235
323,2018,12,1113.2323505318031,1556.237057670072,2008.7081399670283,3089.368388775283
